products,n_bgc
hserlactone;NRPS,5
cyclic-lactone-autoinducer;LAP;thiopeptide,5
T2PKS;terpene,5
transAT-PKS-like;butyrolactone,5
T1PKS;NRPS;hglE-KS,5
hglE-KS;T1PKS;lanthipeptide-class-i,5
siderophore;hserlactone,5
ranthipeptide;NRPS,5
ranthipeptide;RiPP-like,5
lanthipeptide-class-v;thioamitides,5
T1PKS;NRPS;siderophore,5
T1PKS;indole,5
T3PKS;NRPS,5
lassopeptide;siderophore,5
T1PKS;NRPS-like;butyrolactone,5
T1PKS;acyl_amino_acids;NRPS;NRPS-like;hserlactone,5
hglE-KS;NRPS;T1PKS,4
NRPS;lanthipeptide-class-i,4
NRPS-like;phenazine,4
arylpolyene;siderophore,4
NRPS;T1PKS;RiPP-like,4
transAT-PKS;NRPS-like,4
transAT-PKS;NRPS-like;PKS-like;T3PKS,4
NAPAA;oligosaccharide,4
NRPS-like;hserlactone,4
NRPS;T1PKS;transAT-PKS,4
arylpolyene;terpene,4
cyclic-lactone-autoinducer;lanthipeptide-class-ii,4
NAPAA;lanthipeptide-class-iv,4
siderophore;NRPS,4
NRPS;lanthipeptide-class-ii,4
other;oligosaccharide,4
indole;linaridin,4
T1PKS;PKS-like;RRE-containing,4
proteusin;LAP,4
ladderane;arylpolyene;NRPS,4
PKS-like;NRPS,4
NRPS-like;PKS-like;terpene,4
RRE-containing;T1PKS;PKS-like,4
other;NRPS;T1PKS,4
other;T1PKS,4
PKS-like;transAT-PKS;NRPS-like;NRPS,4
PKS-like;NRPS;NRPS-like,4
PKS-like;transAT-PKS-like,4
LAP;thiopeptide;cyclic-lactone-autoinducer,4
transAT-PKS;NRPS;T1PKS;RRE-containing,3
LAP;proteusin,3
LAP;T1PKS,3
LAP;RiPP-like;RRE-containing,3
NAPAA;betalactone,3
arylpolyene;RiPP-like,3
arylpolyene;T3PKS,3
LAP;thiopeptide;RiPP-like,3
NRPS;T1PKS;T3PKS;NRPS-like;terpene,3
other;siderophore,3
thioamitides;RiPP-like,3
RiPP-like;NAGGN,3
RRE-containing;arylpolyene,3
lanthipeptide-class-ii;melanin,3
T1PKS;NRPS;indole,3
NRPS-like;NRPS;arylpolyene,3
PKS-like;transAT-PKS;NRPS,3
lipolanthine;lanthipeptide-class-iii,3
linaridin;indole,3
RRE-containing;lanthipeptide-class-iii,3
lanthipeptide-class-v;RRE-containing,3
lanthipeptide-class-iii;RiPP-like,3
PKS-like;NRPS-like,3
lanthipeptide-class-iv;NAPAA,3
other;T1PKS;butyrolactone,3
PKS-like;NRPS-like;transAT-PKS;NRPS,3
transAT-PKS;NRPS-like;NRPS,3
thioamide-NRP;NAPAA,3
transAT-PKS;NRPS;T3PKS,3
terpene;phosphonate,3
NRPS;NRPS-like;terpene,3
transAT-PKS;T3PKS;PKS-like,3
NRPS;T3PKS,3
betalactone;RiPP-like,3
betalactone;NAPAA,3
T3PKS;RiPP-like,3
T3PKS;RiPP-like;siderophore,3
T3PKS;arylpolyene,3
ectoine;butyrolactone,3
ectoine;terpene,3
NRPS-like;lanthipeptide-class-v,3
NRPS-like;thioamitides,3
NRPS-like;siderophore,3
NRPS;other;betalactone,3
NRPS;PKS-like;siderophore,3
